CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon
907114138,01/01/2016,00:00:00,,,06/27/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,40.635141912,-73.947895611,"(40.635141912, -73.947895611)"
820366050,01/01/2016,00:01:00,,,06/21/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,40.654954094,-73.919815644,"(40.654954094, -73.919815644)"
418016737,01/01/2016,01:10:00,,,06/19/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,40.73987766,-73.996869174,"(40.73987766, -73.996869174)"
675554078,01/01/2016,00:00:00,12/31/2016,00:00:00,06/14/2017,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,INSIDE,RESIDENCE - APT. HOUSE,40.768612754,-73.872031771,"(40.768612754, -73.872031771)"
242421291,01/01/2016,00:01:00,05/30/2017,20:00:00,05/31/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,INSIDE,RESIDENCE - APT. HOUSE,,,
880371333,01/01/2016,09:00:00,06/07/2017,09:00:00,06/07/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,STATEN ISLAND,120,INSIDE,RESIDENCE - PUBLIC HOUSING,40.636818967,-74.118653127,"(40.636818967, -74.118653127)"
420072865,01/01/2016,09:00:00,06/07/2017,09:00:00,06/07/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,STATEN ISLAND,120,INSIDE,RESIDENCE - PUBLIC HOUSING,40.636818967,-74.118653127,"(40.636818967, -74.118653127)"
212807401,01/01/2016,00:01:00,05/01/2017,23:59:00,05/22/2017,109,GRAND LARCENY,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122,INSIDE,RESIDENCE-HOUSE,40.56207524,-74.113283814,"(40.56207524, -74.113283814)"
404890055,01/01/2016,00:01:00,12/31/2016,23:59:00,05/18/2017,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,7,INSIDE,RESIDENCE - PUBLIC HOUSING,,,
669642832,01/01/2016,19:00:00,05/16/2017,16:20:00,05/16/2017,107,BURGLARY,211,"BURGLARY,COMMERCIAL,DAY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,INSIDE,ABANDONED BUILDING,40.673105271,-73.905298118,"(40.673105271, -73.905298118)"
156095250,01/01/2016,12:00:00,12/31/2016,12:00:00,05/16/2017,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,,,
298182318,01/01/2016,00:01:00,05/31/2016,23:59:00,05/10/2017,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE-HOUSE,,,
652760005,01/01/2016,09:00:00,01/01/2016,10:00:00,05/03/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE - APT. HOUSE,40.850946838,-73.885612621,"(40.850946838, -73.885612621)"
