precinct ,count
1,84
5,275
6,94
7,384
9,333
10,75
13,131
14,62
17,49
18,111
19,227
20,31
23,159
24,115
25,77
26,47
28,172
30,112
32,162
33,161
34,184
40,269
41,150
42,113
43,155
44,154
45,130
46,185
47,225
48,205
49,126
50,105
52,176
60,71
61,258
62,299
63,158
66,362
67,132
68,253
69,52
70,230
71,126
72,585
73,153
75,174
76,113
77,163
78,146
79,222
81,189
83,355
84,87
88,122
90,510
94,709
100,24
101,9
102,124
103,73
104,99
105,55
106,68
107,45
108,163
109,165
110,115
111,69
112,32
113,33
114,300
115,211
120,58
121,44
122,70
123,18
